"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 09 12:56:36 IST 2022","Wed Nov 09 12:56:37 IST 2022","612","Test_Case","test_Apimethods","","","","test_delete_api",""
"passed","Wed Nov 09 12:56:37 IST 2022","Wed Nov 09 12:56:40 IST 2022","2791","Test_Case","test_Authentication","","","","test_auth",""
"passed","Wed Nov 09 12:56:37 IST 2022","Wed Nov 09 12:56:37 IST 2022","533","Test_Case","test_Apimethods","","","","test_patch_api",""
"broken","Wed Nov 09 12:56:40 IST 2022","Wed Nov 09 12:56:40 IST 2022","0","Test_Case","test_Listinfo","","","","test_listinfo",""
"passed","Wed Nov 09 12:56:57 IST 2022","Wed Nov 09 12:57:01 IST 2022","4641","Test_Case.test_Kabi_Food_Category","test_foodcategoryCreate","","","","test_createFood",""
"passed","Wed Nov 09 12:56:40 IST 2022","Wed Nov 09 12:56:43 IST 2022","3060","Test_Case","test_createinformation","","","","test_createInfo",""
"passed","Wed Nov 09 12:56:54 IST 2022","Wed Nov 09 12:56:57 IST 2022","3043","Test_Case.test_Kabi_Food_Category","test_food","","","","test_getFood",""
"failed","Wed Nov 09 12:56:43 IST 2022","Wed Nov 09 12:56:45 IST 2022","2157","Test_Case","test_getinformation","","","","test_getinfo",""
"broken","Wed Nov 09 12:56:43 IST 2022","Wed Nov 09 12:56:43 IST 2022","0","Test_Case","test_deleteinfo","","","","test_delete",""
"passed","Wed Nov 09 12:56:26 IST 2022","Wed Nov 09 12:56:26 IST 2022","435","Test_Case","test_Apimethods","","","","test_get_api",""
"passed","Wed Nov 09 12:56:45 IST 2022","Wed Nov 09 12:56:54 IST 2022","8340","Test_Case","test_login","","","","test_login",""
"failed","Wed Nov 09 12:56:26 IST 2022","Wed Nov 09 12:56:36 IST 2022","9524","Test_Case","test_Apimethods","","","","test_post_api",""
"passed","Wed Nov 09 12:56:57 IST 2022","Wed Nov 09 12:56:57 IST 2022","1","Test_Case.test_Kabi_Food_Category","test_food","","","","test_datavalidation",""
"broken","Wed Nov 09 12:56:54 IST 2022","Wed Nov 09 12:56:54 IST 2022","1","Test_Case","test_updateinfo","","","","test_update",""
